cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s,fitness
700,128,4,0.5371234069042894,3.3,-49.112552154135116,-1,0.0,ok,274.5745735168457,0.6896165179043552
350,128,4,0.6387430988928412,1.9,-24.148118405450923,-1,0.0,ok,260.77863812446594,0.6653952751972387
350,384,4,0.437541525802389,2.9,-24.331258804987606,-1,0.0,ok,249.22800135612488,0.6642761710872451
700,256,4,0.42678762194239145,3.8,-50.89522040073048,-1,0.0,ok,305.4132809638977,0.6828481845373886
700,128,3,0.6337577740129774,2.4749999999999996,-38.3448706886492,-1,0.0,ok,247.42492198944092,0.6723851511232577
650,256,4,0.4365093197601542,3.6,-46.51240719091244,-1,0.0,ok,255.14089727401733,0.6788749365684394
500,256,4,0.46341903777553245,3.0,-35.26546039516515,-1,0.0,ok,268.6478946208954,0.6740301713725088
150,128,4,0.6677480181662186,1.1,-9.655056078126744,-1,0.0,ok,300.6334319114685,0.6600932687745368
600,128,4,0.586449626581707,2.9,-41.85435111258976,-1,0.0,ok,257.67409110069275,0.6777404522364696
700,256,2,0.5111175638255081,1.9,-26.251349630146734,-1,0.0,ok,177.36242246627808,0.6675033474386232
650,128,3,0.5926417641423147,2.325,-36.09632264458307,-1,0.0,ok,251.5225908756256,0.6775625949240519
700,384,4,0.3836571597495636,4.3,-48.880892071758936,-1,0.0,ok,275.71702313423157,0.6762379332042913
