cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
450,768,1,0.4510023121562414,1.2,-8.760882687432478,0.48135469927450547,ok,176.59602737426758
500,896,3,0.4054462008182916,4.125,-27.274908959710395,1.3200158418139907,ok,374.3386971950531
550,896,4,0.34841085996805327,5.7,-39.756940534449534,inf,ok,343.5681550502777
200,128,1,0.722287762410815,0.325,-3.678659593510955,inf,ok,230.66762351989746
150,384,4,0.47563047505382394,2.1,-10.017465230341058,1.0568954288602208,ok,274.9306597709656
200,896,3,0.42312977346993247,3.2249999999999996,-10.651547340017114,0.8761543368406143,ok,336.3856861591339
550,384,4,0.40901283047779424,3.7,-39.69867136527113,0.552355256948875,ok,344.786408662796
150,128,1,0.6873863012831561,0.275,-2.9540273705246585,inf,ok,163.2516474723816
200,128,2,0.7025081868344702,0.65,-7.306887708256902,0.39273341912355964,ok,203.5367202758789
